id,sex,employment,marital,income,social3
100001,1,employed,1,7787,.88933831
100002,1,retired,1,9286,.22337189
100003,1,employed,1,25586,0
100004,1,employed,1,57661,.27401465
100005,1,retired,0,3943,.20861614
100006,1,student,0,3840,.72690916
100007,1,employed,1,25101,.67650896
100008,1,unemployed,1,0,.85897553
100009,1,unemployed,0,28200,.5097149
100010,1,employed,0,9654,.70592684
100011,1,employed,0,5478,0
100012,1,unemployed,1,0,.8151046
100013,1,employed,1,8929,0
100014,1,employed,1,10829,0
100015,1,employed,1,18533,.51234144
100016,1,employed,1,10462,0
100017,1,retired,1,9362,.26928526
100018,0,employed,1,8403,.51991427
100019,0,student,0,24267,.84249699
100020,1,employed,1,15780,0
100021,1,retired,1,15790,0
100022,1,employed,0,8365,0
100023,1,employed,0,39611,0
100024,1,employed,0,19831,.50897199
100025,0,retired,1,2679,.38107759
100026,1,unemployed,0,10643,.58443111
100027,1,employed,1,8130,.53656507
100028,0,employed,1,4872,0
100029,1,student,0,3231,.96639532
100030,0,retired,0,13917,0
100031,1,unemployed,1,7280,.29320061
100032,0,employed,1,6131,0
100033,0,employed,1,5591,.5918873
100034,1,retired,1,16299,0
100035,1,employed,1,8467,.85490793
100036,1,unemployed,1,19345,.46678546
100037,0,student,1,0,.97496259
100038,1,employed,1,13554,.55067408
100039,1,employed,0,7411,.44452047
100040,1,employed,0,6791,.72592515
100041,1,student,0,0,.97313076
100042,1,employed,1,9401,.55664116
100043,1,employed,1,10841,0
100044,1,employed,1,7533,0
100045,1,employed,1,24685,.7051577
100046,1,unemployed,1,13178,.39838794
100047,0,retired,1,81650,0
100048,1,retired,1,6842,.29434821
100049,1,student,0,12221,.89092761
100050,1,employed,1,20192,.52001554
100051,1,employed,1,15656,0
100052,0,unemployed,1,8554,0
100053,1,employed,1,10746,0
100054,1,employed,0,45164,.8544417
100055,1,employed,1,10751,0
100056,1,employed,0,54400,.30057305
100057,1,retired,1,8319,.001505902
100058,1,employed,0,11887,0
100059,1,employed,0,23740,.60822278
100060,0,retired,0,10901,.097023055
100061,1,retired,1,9872,0
100062,0,employed,0,20679,.58220643
100063,1,student,0,0,.62051266
100064,0,unemployed,1,21281,.15600491
100065,1,employed,0,8398,.77995551
100066,0,employed,1,6257,.52911508
100067,0,employed,1,16311,.5329138
100068,1,employed,1,7802,0
100069,1,employed,1,31099,.28131753
100070,1,employed,1,6773,.16673256
100071,1,employed,1,31490,.56660926
100072,1,employed,1,49560,.51824796
100073,1,employed,1,1000000,.0017081916
100074,1,unemployed,0,25512,.7622968
100075,0,employed,0,17074,.81172419
100076,1,student,0,12108,.76255417
100077,0,unemployed,1,12582,.21194179
100078,1,employed,0,10174,.17989939
100079,0,student,1,0,.80032867
100080,1,employed,0,16501,.5739041
100081,1,employed,1,115449,.63489568
100082,1,employed,1,7954,.017075012
100083,1,student,0,7892,.41983542
100084,1,student,0,0,.35373002
100085,1,employed,1,6512,.50086504
100086,1,employed,1,18044,.42941341
100087,0,employed,1,13787,.35100046
100088,1,employed,1,8305,0
100089,1,unemployed,1,16153,0
100090,0,employed,1,4696,.73662537
100091,0,unemployed,1,0,0
100092,0,retired,0,11937,0
100093,1,employed,1,264776,.21720794
100094,1,student,0,0,.88799357
100095,1,employed,1,14234,0
100096,0,student,0,0,.80408764
100097,1,employed,1,30935,.7914322
100098,1,employed,1,208494,.53445572
100099,1,student,0,0,.17127618
100100,1,employed,1,44569,.10149717
100101,1,retired,1,18208,0
100102,1,unemployed,1,0,.62856579
100103,1,retired,1,43278,.080404244
100104,0,employed,0,55856,.17805344
100105,0,employed,1,14406,.63345385
100106,0,employed,1,33248,0
100107,0,unemployed,1,0,.64639813
100108,1,student,0,0,.97334397
100109,1,employed,1,22713,.75959235
100110,0,employed,0,10361,0
100111,0,employed,1,43985,0
100112,0,employed,1,29526,0
100113,1,student,1,0,.97853434
100114,0,unemployed,0,41214,.8958503
100115,1,employed,1,67604,.70024699
100116,0,employed,1,23683,.69529223
100117,1,employed,0,5370,.29945976
100118,1,employed,0,16681,.40693465
100119,0,employed,1,6017,.66528577
100120,1,employed,1,9639,0
100121,1,employed,1,19903,.67200136
100122,1,retired,1,16951,.16101636
100123,0,employed,0,10425,0
100124,1,employed,1,24500,.66698933
100125,1,employed,0,12492,.64974284
100126,1,employed,1,8871,0
100127,1,employed,1,7347,0
100128,1,employed,1,7059,0
